name,referencePath,policyType,category,displayName,description,groupNames,policySets,allowedEffects,PRODParameters,NONPRODEffect,PRODParameters,NONPRODParameters
a4af4a39-4135-47fb-b175-47fbdf85311d,,BuiltIn,App Service,App Service apps should only be accessible over HTTPS,Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Audit,Deny",Audit,Audit,,
6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab,,BuiltIn,App Service,Function apps should only be accessible over HTTPS,Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Audit,Deny",Audit,Audit,,
3657f5a0-770e-44a3-b44e-9431ba1e9735,,BuiltIn,Automation,Automation account variables should be encrypted,It is important to enable encryption of Automation account variable assets when storing sensitive data,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
22bee202-a82f-4305-9a2a-6d7f44d4dedb,,BuiltIn,Cache,Only secure connections to your Azure Cache for Redis should be enabled,"Audit enabling of only connections via SSL to Azure Cache for Redis. Use of secure connections ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking","PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
1d84d5fb-01f6-4d12-ba4f-4a26081d403d,,BuiltIn,Compute,Virtual machines should be migrated to new Azure Resource Manager resources,"Use new Azure Resource Manager for your virtual machines to provide security enhancements such as: stronger access control (RBAC), better auditing, Azure Resource Manager based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management","PCI_DSS_v4.0_10.2.2,PCI_DSS_v4.0_10.3.3",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
a451c1ef-c6ca-483d-87ed-f49761e3ffb5,,BuiltIn,General,Audit usage of custom RBAC roles,"Audit built-in roles such as 'Owner, Contributer, Reader' instead of custom RBAC roles, which are error prone. Using custom roles is treated as an exception and requires a rigorous review and threat modeling","PCI_DSS_v4.0_3.3.3,PCI_DSS_v4.0_7.3.1,PCI_DSS_v4.0_8.4.1",PCI-DSS: Audit (Policy Default),"Audit,Disabled",Audit,Audit,,
3cf2ab00-13f1-4d0c-8971-2ac904541a7e,,BuiltIn,Guest Configuration,Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration but do not have any managed identities. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",PCI_DSS_v4.0_8.3.6,PCI-DSS: modify (Policy Fixed),"modify,audit",audit,audit,,
497dff13-db2a-4c0f-8603-28fa3b331ab6,,BuiltIn,Guest Configuration,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration and have at least one user-assigned identity but do not have a system-assigned managed identity. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",PCI_DSS_v4.0_8.3.6,PCI-DSS: modify (Policy Fixed),"modify,audit",audit,audit,,
5b054a0d-39e2-4d53-bea3-9734cad2c69b,,BuiltIn,Guest Configuration,Audit Windows machines that allow re-use of the passwords after the specified number of unique passwords,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Windows machines that allow re-use of the passwords after the specified number of unique passwords. Default value for unique passwords is 24",PCI_DSS_v4.0_8.3.6,PCI-DSS: AuditIfNotExists (Policy Default),"AuditIfNotExists,Disabled",AuditIfNotExists,AuditIfNotExists,,
4ceb8dc2-559c-478b-a15b-733fbf1e3738,,BuiltIn,Guest Configuration,Audit Windows machines that do not have the maximum password age set to specified number of days,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Windows machines that do not have the maximum password age set to specified number of days. Default value for maximum password age is 70 days",PCI_DSS_v4.0_8.3.6,PCI-DSS: AuditIfNotExists (Policy Default),"AuditIfNotExists,Disabled",AuditIfNotExists,AuditIfNotExists,"{""IncludeArcMachines"":""false""}","{""IncludeArcMachines"":""false""}"
